Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.50,Ballantine Books,Hardcover,476,2021,2021,,2025/07/02,to-read,to-read (#41),to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",5,4.64,St. Martin's Press,Hardcover,440,2015,2015,2025/07/02,2023/07/17,,,read,,,,1,0
220817728,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,4.45,Ballantine Books,Hardcover,352,2025,2025,,2025/06/16,to-read,to-read (#40),to-read,,,,0,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",5,4.28,Penguin Books,Paperback,254,2006,180,,2025/02/14,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",4,3.92,HarperOne,Paperback,182,2014,1988,,2025/02/11,,,read,,,,1,0
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",0,4.20,The Penguin Group,Paperback,336,2014,2014,,2025/04/21,to-read,to-read (#39),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.67,Picador,Paperback,213,2019,2015,,2025/04/21,to-read,to-read (#38),to-read,,,,0,0
52701044,Girl Decoded: A Scientist's Quest to Reclaim Our Humanity by Bringing Emotional Intelligence to Technology,Rana El Kaliouby,"Kaliouby, Rana El",,"=""1984824767""","=""9781984824769""",0,4.12,Currency,Hardcover,272,2020,2020,,2025/04/21,to-read,to-read (#37),to-read,,,,0,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.15,Avon Eos,Mass Market Paperback,208,1998,1995,,2025/04/21,to-read,to-read (#36),to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",5,4.20,Warner,Paperback,210,2000,1997,2025/03/31,2025/01/08,,,read,,,,1,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",5,4.32,Scribner,Paperback,288,2006,2005,2025/03/20,2024/05/05,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,4.58,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2025/02/17,to-read,to-read (#35),to-read,,,,0,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",0,4.20,Ballantine Books,Hardcover,368,2019,2019,,2024/05/07,,,read,,,,1,0
27189194,One True Loves,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",5,4.03,Washington Square Press,Kindle Edition,352,2016,2016,2025/02/10,2025/02/07,,,read,,,,1,0
25845273,The Great Divorce,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",0,4.32,HarperCollins,Paperback,146,2015,1946,,2025/02/10,to-read,to-read (#34),to-read,,,,0,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",0,4.01,Hyperion,Hardcover,196,2003,2003,,2025/02/08,to-read,to-read (#33),to-read,,,,0,0
23848559,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,"Lawson, Jenny",,"=""1250077001""","=""9781250077004""",0,3.89,Flatiron Books,Hardcover,329,2015,2015,,2025/02/08,to-read,to-read (#32),to-read,,,,0,0
